SeriesCode,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Base Period,Aggregation method,Conceptual implications and limitations,Notes from original source,General comments,WDI,GDF
AG.LND.EL5M.ZS,Land area where elevation is below 5 meters (% of total land area),Land area below 5m is the percentage of total land where the elevation is 5 meters or less.,Land area below 5m is the percentage of total land where the elevation is 5 meters or less.,"Center for International Earth Science Information Network (CIESIN), Place II dataset.",Environment: Land use,Annual,,Weighted average,,,,WDI,
AG.LND.FRST.K2,Forest area (sq. km),"Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens.","Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,Annual,,Sum,,,,WDI,
AG.LND.FRST.ZS,Forest area (% of land area),"Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens.","Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,Annual,,Weighted average,,,,WDI,
AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),"Agricultural irrigated land refers to agricultural areas purposely provided with water, including land irrigated by controlled flooding.","Agricultural irrigated land refers to agricultural areas purposely provided with water, including land irrigated by controlled flooding.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,Annual,,Weighted average,,,,WDI,
AG.LND.PRCP.MM,Average precipitation in depth (mm per year),Average precipitation is the long-term average in depth (over space and time) of annual precipitation in the country. Precipitation is defined as any kind of water that falls from clouds as a liquid or a solid.,Average precipitation is the long-term average in depth (over space and time) of annual precipitation in the country. Precipitation is defined as any kind of water that falls from clouds as a liquid or a solid.,"Food and Agriculture Organization, electronic files and web site.",Environment: Land use,Annual,,,,,,WDI,
AG.LND.TOTL.K2,Land area (sq. km),"Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.","Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,Annual,,Sum,,,,WDI,
AG.LND.TRAC.ZS,"Agricultural machinery, tractors per 100 sq. km of arable land","Agricultural machinery refers to the number of wheel and crawler tractors (excluding garden tractors) in use in agriculture at the end of the calendar year specified or during the first quarter of the following year. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Agricultural machinery refers to the number of wheel and crawler tractors (excluding garden tractors) in use in agriculture at the end of the calendar year specified or during the first quarter of the following year. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,Annual,,Weighted average,,,,WDI,
AG.PRD.CREL.MT,Cereal production (metric tons),"Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded.","Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded.","Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,Annual,,,,,,WDI,
AG.PRD.CROP.XD,Crop production index (2004-2006 = 100),"Crop production index shows agricultural production for each year relative to the base period 2004-2006. It includes all crops except fodder crops. Regional and income group aggregates for the FAO's production indexes are calculated from the underlying values in international dollars, normalized to the base period 2004-2006.","Crop production index shows agricultural production for each year relative to the base period 2004-2006. It includes all crops except fodder crops. Regional and income group aggregates for the FAO's production indexes are calculated from the underlying values in international dollars, normalized to the base period 2004-2006.","Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,Annual,2004-06,Weighted average,,,,WDI,
AG.PRD.FOOD.XD,Food production index (2004-2006 = 100),"Food production index covers food crops that are considered edible and that contain nutrients. Coffee and tea are excluded because, although edible, they have no nutritive value.","Food production index covers food crops that are considered edible and that contain nutrients. Coffee and tea are excluded because, although edible, they have no nutritive value.","Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,Annual,2004-06,Weighted average,,,,WDI,
AG.PRD.LVSK.XD,Livestock production index (2004-2006 = 100),"Livestock production index includes meat and milk from all sources, dairy products such as cheese, and eggs, honey, raw silk, wool, and hides and skins.","Livestock production index includes meat and milk from all sources, dairy products such as cheese, and eggs, honey, raw silk, wool, and hides and skins.","Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,Annual,2004-06,Weighted average,,,,WDI,
AG.SRF.TOTL.K2,Surface area (sq. km),"Surface area is a country's total area, including areas under inland bodies of water and some coastal waterways.","Surface area is a country's total area, including areas under inland bodies of water and some coastal waterways.","Food and Agriculture Organization, electronic files and web site.",Environment: Land use,Annual,,Sum,,,,WDI,
AG.YLD.CREL.KG,Cereal yield (kg per hectare),"Cereal yield, measured as kilograms per hectare of harvested land, includes wheat, rice, maize, barley, oats, rye, millet, sorghum, buckwheat, and mixed grains. Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded.","Cereal yield, measured as kilograms per hectare of harvested land, includes wheat, rice, maize, barley, oats, rye, millet, sorghum, buckwheat, and mixed grains. Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded. The FAO allocates production data to the calendar year in which the bulk of the harvest took place. Most of a crop harvested near the end of a year will be used in the following year.","Food and Agriculture Organization, electronic files and web site.",Environment: Agricultural production,Annual,,Weighted average,,,,WDI,
BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP),"Trade in services is the sum of service exports and imports divided by the value of GDP, all in current U.S. dollars.","Trade in services is the sum of service exports and imports divided by the value of GDP, all in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Annual,,Weighted average,,,,WDI,
BM.GSR.CMCP.ZS,"Communications, computer, etc. (% of service imports, BoP)","Communications, computer, information, and other services (% of service imports, BoP) cover international telecommunications and postal and courier services; computer data; news-related service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business, professional, and technical services; personal, cultural, and recreational services; and government services not included elsewhere. Services imports refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies.","Communications, computer, information, and other services (% of service imports, BoP) cover international telecommunications and postal and courier services; computer data; news-related service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business, professional, and technical services; personal, cultural, and recreational services; and government services not included elsewhere. Services imports refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Annual,,Weighted average,,,,WDI,
BM.GSR.FCTY.CD,"Income payments (BoP, current US$)","Income payments refer to employee compensation paid to nonresident workers and investment income (payments on direct investment, portfolio investment, other investments). Income derived from the use of intangible assets is excluded from income and recorded under business services. Data are in current U.S. dollars.","Income payments refer to employee compensation paid to nonresident workers and investment income (payments on direct investment, portfolio investment, other investments). Income derived from the use of intangible assets is excluded from income and recorded under business services. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Annual,,Sum,,,,WDI,
BM.GSR.GNFS.CD,"Imports of goods and services (BoP, current US$)","Imports of goods and services comprise all transactions between residents of a country and the rest of the world involving a change of ownership from nonresidents to residents of general merchandise, goods sent for processing and repairs, nonmonetary gold, and services. Data are in current U.S. dollars.","Imports of goods and services comprise all transactions between residents of a country and the rest of the world involving a change of ownership from nonresidents to residents of general merchandise, goods sent for processing and repairs, nonmonetary gold, and services. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Annual,,Gap-filled total,,,,WDI,
BM.GSR.INSF.ZS,"Insurance and financial services (% of service imports, BoP)","Insurance and financial services (% of service imports, BoP) cover various types of insurance provided to nonresidents by resident insurance enterprises and vice versa, and financial intermediary and auxiliary services (except those of insurance enterprises and pension funds) exchanged between residents and nonresidents. Services imports refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies.","Insurance and financial services (% of service imports, BoP) cover various types of insurance provided to nonresidents by resident insurance enterprises and vice versa, and financial intermediary and auxiliary services (except those of insurance enterprises and pension funds) exchanged between residents and nonresidents. Services imports refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Annual,,Weighted average,,,,WDI,
BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)","Goods imports refer to all movable goods (including nonmonetary gold) involved in a change of ownership from nonresidents to residents. The category includes goods previously included in services: goods received or sent for processing and their subsequent export or import in the form of processed goods, repairs on goods, and goods procured in ports by carriers. Data are in current U.S. dollars.","Goods imports refer to all movable goods (including nonmonetary gold) involved in a change of ownership from nonresidents to residents. The category includes goods previously included in services: goods received or sent for processing and their subsequent export or import in the form of processed goods, repairs on goods, and goods procured in ports by carriers. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Annual,,Gap-filled total,,,,WDI,
BM.GSR.NFSV.CD,"Service imports (BoP, current US$)","Services (previously nonfactor services) refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the IMF's Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies. Data are in current U.S. dollars.","Services (previously nonfactor services) refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the IMF's Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Annual,,Gap-filled total,,,,WDI,
BM.GSR.ROYL.CD,"Royalty and license fees, payments (BoP, current US$)","Royalty and license fees are payments and receipts between residents and nonresidents for the authorized use of intangible, nonproduced, nonfinancial assets and proprietary rights (such as patents, copyrights, trademarks, industrial processes, and franchises) and for the use, through licensing agreements, of produced originals of prototypes (such as films and manuscripts). Data are in current U.S. dollars.","Royalty and license fees are payments and receipts between residents and nonresidents for the authorized use of intangible, nonproduced, nonfinancial assets and proprietary rights (such as patents, copyrights, trademarks, industrial processes, and franchises) and for the use, through licensing agreements, of produced originals of prototypes (such as films and manuscripts). Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Annual,,Sum,,,,WDI,
BM.GSR.TOTL.CD,"Imports of goods, services and income (BoP, current US$)","Imports of goods, services and income is the sum of goods (merchandise) imports, imports of (nonfactor) services and income (factor) payments. Data are in current U.S. dollars.","Imports of goods, services and income is the sum of goods (merchandise) imports, imports of (nonfactor) services and income (factor) payments. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Annual,,Gap-filled total,,,,WDI,GDF
BM.GSR.TRAN.ZS,"Transport services (% of service imports, BoP)","Transport (% of service imports, BoP) covers all transport services (sea, air, land, internal waterway, space, and pipeline) performed by residents of one economy for those of another and involving the carriage of passengers, the movement of goods (freight), rental of carriers with crew, and related support and auxiliary services. Excluded are freight insurance, which is included in insurance services; goods procured in ports by nonresident carriers and repairs of transport equipment, which are included in goods; repairs of railway facilities, harbors, and airfield facilities, which are included in construction services; and rental of carriers without crew, which is included in other services. Services imports refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies.","Transport (% of service imports, BoP) covers all transport services (sea, air, land, internal waterway, space, and pipeline) performed by residents of one economy for those of another and involving the carriage of passengers, the movement of goods (freight), rental of carriers with crew, and related support and auxiliary services. Excluded are freight insurance, which is included in insurance services; goods procured in ports by nonresident carriers and repairs of transport equipment, which are included in goods; repairs of railway facilities, harbors, and airfield facilities, which are included in construction services; and rental of carriers without crew, which is included in other services. Services imports refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Annual,,Weighted average,,,,WDI,
BM.GSR.TRVL.ZS,"Travel services (% of service imports, BoP)","Travel (% of service imports, BoP) covers goods and services acquired from an economy by travelers for their own use during visits of less than one year in that economy for either business or personal purposes. Services imports refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies.","Travel (% of service imports, BoP) covers goods and services acquired from an economy by travelers for their own use during visits of less than one year in that economy for either business or personal purposes. Services imports refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. International transactions in services are defined by the International Monetary Fund's (IMF) Balance of Payments Manual (1993), but definitions may nevertheless vary among reporting economies.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Annual,,Weighted average,,,,WDI,
BM.KLT.DINV.GD.ZS,"Foreign direct investment, net outflows (% of GDP)","Foreign direct investment are the net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvestment of earnings, other long-term capital, and short-term capital as shown in the balance of payments. This series shows net outflows of investment from the reporting economy to the rest of the world and is divided by GDP.","Foreign direct investment are the net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvestment of earnings, other long-term capital, and short-term capital as shown in the balance of payments. This series shows net outflows of investment from the reporting economy to the rest of the world and is divided by GDP.","International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, Global Development Finance, and World Bank and OECD GDP estimates.",Economic Policy & Debt: Balance of payments: Capital & financial account,Annual,,Weighted average,,,,WDI,
BM.TRF.PRVT.CD,"Private current transfers, payments (BoP, current US$)","Current transfers are recorded in the balance of payments whenever an economy provides or receives goods, services, income, or financial items without a quid pro quo. All transfers not considered to be capital are current. Data are in current U.S. dollars.","Current transfers are recorded in the balance of payments whenever an economy provides or receives goods, services, income, or financial items without a quid pro quo. All transfers not considered to be capital are current. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Current account: Transfers,Annual,,Sum,,,,WDI,
BM.TRF.PWKR.CD.DT,"Workers' remittances and compensation of employees, paid (current US$)",Workers' remittances and compensation of employees received are current transfers by migrant workers and wages and salaries of nonresident workers. Data are in current U.S. dollars.,"Workers' remittances and compensation of employees comprise current transfers by migrant workers and wages and salaries earned by nonresident workers. Remittances are classified as current private transfers from migrant workers resident in the host country for more than a year, irrespective of their immigration status, to recipients in their country of origin. Migrants' transfers are defined as the net worth of migrants who are expected to remain in the host country for more than one year that is transferred from one country to another at the time of migration. Compensation of employees is the income of migrants who have lived in the host country for less than a year. Data are in current U.S. dollars.",World Bank staff estimates based on IMF balance of payments data.,Economic Policy & Debt: Balance of payments: Current account: Transfers,Annual,,Sum,,,,WDI,
BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)","Current account balance is the sum of net exports of goods, services, net income, and net current transfers. Data are in current U.S. dollars.","Current account balance is the sum of net exports of goods, services, net income, and net current transfers. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Current account: Balances,Annual,,Sum,,,,WDI,GDF
BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),"Current account balance is the sum of net exports of goods, services, net income, and net current transfers.","Current account balance is the sum of net exports of goods, services, net income, and net current transfers.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Economic Policy & Debt: Balance of payments: Current account: Balances,Annual,,,,,,WDI,
BN.GSR.FCTY.CD,"Net income (BoP, current US$)","Net income refers to receipts and payments of employee compensation paid to nonresident workers and investment income (receipts and payments on direct investment, portfolio investment, other investments, and receipts on reserve assets). Income derived from the use of intangible assets is recorded under business services. Data are in current U.S. dollars.","Net income refers to receipts and payments of employee compensation paid to nonresident workers and investment income (receipts and payments on direct investment, portfolio investment, other investments, and receipts on reserve assets). Income derived from the use of intangible assets is recorded under business services. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Annual,,,,,,WDI,
BN.GSR.GNFS.CD,"Net trade in goods and services (BoP, current US$)",Net trade in goods and services is derived by offsetting imports of goods and services against exports of goods and services. Exports and imports of goods and services comprise all transactions involving a change of ownership of goods and services between residents of one country and the rest of the world. Data are in current U.S. dollars.,Net trade in goods and services is derived by offsetting imports of goods and services against exports of goods and services. Exports and imports of goods and services comprise all transactions involving a change of ownership of goods and services between residents of one country and the rest of the world. Data are in current U.S. dollars.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Current account: Balances,Annual,,,,,,WDI,
BN.GSR.MRCH.CD,"Net trade in goods (BoP, current US$)","Net trade in goods is the difference between exports and imports of goods. The category includes goods previously included in services: goods received or sent for processing and their subsequent export or import in the form of processed goods, repairs on goods, and goods procured in ports by carriers. Trade in services is not included. Data are in current U.S. dollars.","Net trade in goods is the difference between exports and imports of goods. The category includes goods previously included in services: goods received or sent for processing and their subsequent export or import in the form of processed goods, repairs on goods, and goods procured in ports by carriers. Trade in services is not included. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Current account: Balances,Annual,,,,,,WDI,
BN.KAC.EOMS.CD,"Net errors and omissions, adjusted (BoP, current US$)","Net errors and omissions constitute a residual category needed to ensure that all debit and credit entries in the balance of payments statement sum to zero. In the International Financial Statistics presentation, this is equal to the difference between reserves and related items and the sum of the balances of the current, capital, and financial accounts. Data are in current U.S. dollars.","Net errors and omissions constitute a residual category needed to ensure that all debit and credit entries in the balance of payments statement sum to zero. In the International Financial Statistics presentation, this is equal to the difference between reserves and related items and the sum of the balances of the current, capital, and financial accounts. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",Economic Policy & Debt: Balance of payments: Capital & financial account,Annual,,Sum,,,,WDI,
