CountryCode,SeriesCode,DESCRIPTION
AFG,SH.XPD.EXTR.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. 
AFG,SH.XPD.OOPC.TO.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. 
AFG,SH.XPD.OOPC.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. 
AFG,SH.XPD.PCAP,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. 
AFG,SH.XPD.PCAP.PP.KD,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. 
AFG,SH.XPD.PRIV.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. 
AFG,SH.XPD.PUBL,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. 
AFG,SH.XPD.PUBL.GX.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. 
AFG,SH.XPD.PUBL.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. 
AFG,SH.XPD.TOTL.ZS,Non-profit institutions (such as NGOs) serving households are accounted for in “external assistance” and recorded under government expenditure. 
AFG,SM.POP.NETM,Data sources : United Nations World Population Prospects
AFG,SM.POP.TOTL,Estimates are derived from data on foreign-born population. 
AFG,SP.DYN.AMRT.FE,Data sources : United Nations World Population Prospects
AFG,SP.DYN.AMRT.MA,Data sources : United Nations World Population Prospects
AFG,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
AFG,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
AFG,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
AFG,SP.DYN.LE00.IN,Derived using male and female life expectancy
AFG,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
AFG,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
AFG,SP.POP.GROW,"United Nations World Population Prospects, UNHCR. Adjusted with refugees 1975 onwards."
AFG,SP.POP.TOTL,"United Nations World Population Prospects, UNHCR. Adjusted with refugees 1975 onwards."
AGO,DT.DOD.DECT.CD,"Data on long-term public and publicly guaranteed debt for 2010 are based on reports provided by the country. Data on long-term private nonguaranteed debt are not available. Short-term debt data are World Bank staff estimates, based on the BIS data on international bank lending."
AGO,SH.XPD.EXTR.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.OOPC.TO.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.OOPC.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.PCAP,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.PCAP.PP.KD,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.PRIV.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.PUBL,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.PUBL.GX.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.PUBL.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SH.XPD.TOTL.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
AGO,SM.POP.NETM,Data sources : United Nations World Population Prospects
AGO,SM.POP.TOTL,Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. 
AGO,SP.DYN.AMRT.FE,Data sources : United Nations World Population Prospects
AGO,SP.DYN.AMRT.MA,Data sources : United Nations World Population Prospects
AGO,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
AGO,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
AGO,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
AGO,SP.DYN.LE00.IN,Derived using male and female life expectancy
AGO,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
AGO,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
AGO,SP.POP.GROW,United Nations World Population Prospects
AGO,SP.POP.TOTL,United Nations World Population Prospects
ALB,DT.DOD.DECT.CD,"Data on long-term public and publicly guaranteed debt, long-term private nonguaranteed debt, and short-term debt for 2010 are based on reports provided by the country."
ALB,SH.XPD.PCAP,Changes for per capita values are due to fluctuations in the US$ exchange rates.
ALB,SM.POP.NETM,Data sources : United Nations World Population Prospects
ALB,SM.POP.TOTL,Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. 
ALB,SP.DYN.AMRT.FE,Data sources : United Nations World Population Prospects
ALB,SP.DYN.AMRT.MA,Data sources : United Nations World Population Prospects
ALB,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
ALB,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
ALB,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
ALB,SP.DYN.LE00.IN,Derived using male and female life expectancy
ALB,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
ALB,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
ALB,SP.POP.GROW,United Nations World Population Prospects
ALB,SP.POP.TOTL,United Nations World Population Prospects
ARE,NE.CON.PRVT.PP.CD,Estimates are based on regression.
ARE,NE.CON.PRVT.PP.KD,Estimates are based on regression.
ARE,NY.GDP.MKTP.PP.CD,Estimates are based on regression.
ARE,NY.GDP.MKTP.PP.KD,Estimates are based on regression.
ARE,NY.GDP.PCAP.PP.CD,Estimates are based on regression.
ARE,NY.GDP.PCAP.PP.KD,Estimates are based on regression.
ARE,NY.GNP.MKTP.PP.CD,Estimates are based on regression.
ARE,NY.GNP.PCAP.PP.CD,Estimates are based on regression.
ARE,PA.NUS.PPP,Estimates are based on regression.
ARE,PA.NUS.PPPC.RF,Estimates are based on regression.
ARE,PA.NUS.PRVT.PP,Estimates are based on regression.
ARE,SM.POP.NETM,Data sources : United Nations World Population Prospects
ARE,SM.POP.TOTL,Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. 
ARE,SP.DYN.AMRT.FE,Data sources : United Nations World Population Prospects
ARE,SP.DYN.AMRT.MA,Data sources : United Nations World Population Prospects
ARE,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
ARE,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
ARE,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
ARE,SP.DYN.LE00.IN,Derived using male and female life expectancy
ARE,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
ARE,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
ARE,SP.POP.GROW,United Nations World Population Prospects
ARE,SP.POP.TOTL,United Nations World Population Prospects
ARG,DT.DOD.DECT.CD,Data on long-term public and publicly guaranteed debt for 2010 are based on reports provided by the country. Provincial debt data are World Bank staff estimates. Data on long-term private nonguaranteed debt for 2010 are reported by the country for the second time. Short-term debt data are revised from 2007 to 2009 based on BIS data and 2010 based on country data. 
ARG,DT.DOD.DPNG.CD,Provincial debt for long-term private nonguaranteed debt data are World Bank staff estimates.
ARG,SM.POP.NETM,Data sources : United Nations World Population Prospects
ARG,SM.POP.TOTL,Estimates are derived from data on foreign-born population. 
ARG,SP.DYN.AMRT.FE,Data sources : United Nations World Population Prospects
ARG,SP.DYN.AMRT.MA,Data sources : United Nations World Population Prospects
ARG,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
ARG,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
ARG,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
ARG,SP.DYN.LE00.IN,Derived using male and female life expectancy
ARG,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
ARG,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
ARG,SP.POP.GROW,United Nations World Population Prospects
ARG,SP.POP.TOTL,United Nations World Population Prospects
ARM,DT.DOD.DECT.CD,"Data on long-term public and publicly guaranteed debt, long-term private nonguaranteed debt, and short-term debt for 2010 are based on reports provided by the country. "
ARM,SH.XPD.PCAP,Changes for per capita values are due to fluctuations in the US$ exchange rates.
ARM,SM.POP.NETM,Data sources : United Nations World Population Prospects
ARM,SM.POP.TOTL,Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. 
ARM,SP.DYN.AMRT.FE,Data sources : United Nations World Population Prospects
ARM,SP.DYN.AMRT.MA,Data sources : United Nations World Population Prospects
ARM,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
ARM,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
ARM,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
ARM,SP.DYN.LE00.IN,Derived using male and female life expectancy
ARM,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
ARM,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
ARM,SP.POP.GROW,United Nations World Population Prospects
ARM,SP.POP.TOTL,United Nations World Population Prospects
ASM,SM.POP.TOTL,"Estimates are derived from data on foreign-born population. The estimates for American Samoa reflect, to the extent possible, all persons born outside its territory."
ASM,SP.DYN.CBRT.IN,Data sources : United Nations Population and Vital Statistics Report
ASM,SP.DYN.CDRT.IN,Data sources : United Nations Population and Vital Statistics Report
ASM,SP.POP.GROW,United Nations World Population Prospects
ASM,SP.POP.TOTL,United Nations World Population Prospects
ATG,NE.CON.PRVT.PP.CD,Estimates are based on regression.
ATG,NE.CON.PRVT.PP.KD,Estimates are based on regression.
ATG,NY.GDP.MKTP.PP.CD,Estimates are based on regression.
ATG,NY.GDP.MKTP.PP.KD,Estimates are based on regression.
ATG,NY.GDP.PCAP.PP.CD,Estimates are based on regression.
ATG,NY.GDP.PCAP.PP.KD,Estimates are based on regression.
ATG,NY.GNP.MKTP.PP.CD,Estimates are based on regression.
ATG,NY.GNP.PCAP.PP.CD,Estimates are based on regression.
ATG,PA.NUS.PPP,Estimates are based on regression.
ATG,PA.NUS.PPPC.RF,Estimates are based on regression.
ATG,PA.NUS.PRVT.PP,Estimates are based on regression.
ATG,SM.POP.NETM,Data sources : United Nations World Population Prospects
ATG,SM.POP.TOTL,Estimates are derived from data on foreign-born population. 
ATG,SP.DYN.AMRT.FE,Data sources : United Nations World Population Prospects
ATG,SP.DYN.AMRT.MA,Data sources : United Nations World Population Prospects
ATG,SP.DYN.CBRT.IN,Data sources : United Nations Population and Vital Statistics Report
ATG,SP.DYN.CDRT.IN,Data sources : United Nations Population and Vital Statistics Report
ATG,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
ATG,SP.DYN.LE00.IN,Derived using male and female life expectancy
ATG,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
ATG,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
ATG,SP.POP.GROW,United Nations World Population Prospects
ATG,SP.POP.TOTL,United Nations World Population Prospects
AUS,SH.XPD.EXTR.ZS,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified."
AUS,SH.XPD.OOPC.TO.ZS,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified."
AUS,SH.XPD.OOPC.ZS,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified."
AUS,SH.XPD.PCAP,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified."
AUS,SH.XPD.PCAP.PP.KD,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified."
AUS,SH.XPD.PRIV.ZS,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified."
AUS,SH.XPD.PUBL,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified."
AUS,SH.XPD.PUBL.GX.ZS,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified."
AUS,SH.XPD.PUBL.ZS,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified."
AUS,SH.XPD.TOTL.ZS,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified."
AUS,SM.POP.NETM,Data sources : United Nations World Population Prospects
AUS,SM.POP.TOTL,"Estimates are derived from data on foreign-born population. For purposes of estimation, Australia, the Christmas Island, the Cocos (Keeling) Islands and Norfolk Island are considered to be a single entity."
AUS,SP.DYN.AMRT.FE,"Data sources : Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research. "
AUS,SP.DYN.AMRT.MA,"Data sources : Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research. "
AUS,SP.DYN.CBRT.IN,Data sources : Australian Bureau of Statistics
AUS,SP.DYN.CDRT.IN,Data sources : Australian Bureau of Statistics
AUS,SP.DYN.LE00.FE.IN,Data sources : Australian Bureau of Statistics
AUS,SP.DYN.LE00.IN,Derived using male and female life expectancy
AUS,SP.DYN.LE00.MA.IN,Data sources : Australian Bureau of Statistics
AUS,SP.DYN.TFRT.IN,Data sources : Australian Bureau of Statistics
AUS,SP.POP.0014.TO.ZS,"Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
AUS,SP.POP.1564.TO.ZS,"Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
AUS,SP.POP.65UP.TO.ZS,"Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
AUS,SP.POP.GROW,Australian Bureau of Statistics
AUS,SP.POP.TOTL,Australian Bureau of Statistics
AUS,SP.POP.TOTL.FE.ZS,"Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
AUT,SM.POP.NETM,Data sources : United Nations World Population Prospects
AUT,SM.POP.TOTL,Estimates are derived from data on foreign-born population. 
AUT,SP.DYN.AMRT.FE,"Data sources : Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research. "
AUT,SP.DYN.AMRT.MA,"Data sources : Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research. "
AUT,SP.DYN.CBRT.IN,"Data sources : Eurostat, Statistik Austria"
AUT,SP.DYN.CDRT.IN,"Data sources : Eurostat, Statistik Austria"
AUT,SP.DYN.LE00.FE.IN,"Data sources : Eurostat, Statistik Austria"
AUT,SP.DYN.LE00.IN,Derived using male and female life expectancy
AUT,SP.DYN.LE00.MA.IN,"Data sources : Eurostat, Statistik Austria"
AUT,SP.DYN.TFRT.IN,"Data sources : Eurostat, Statistik Austria"
AUT,SP.POP.GROW,"Eurostat, Statistik Austria"
AUT,SP.POP.TOTL,"Eurostat, Statistik Austria"
AZE,DT.DOD.DECT.CD,"Data on long-term public and publicly guaranteed debt for 2010 are based on reports provided by the country. Data on long-term private nonguaranteed debt cover European Bank for Reconstruction and Development and other private creditors. Short-term debt data are World Bank staff estimates, based on the BIS data on international bank lending."
AZE,SH.XPD.EXTR.ZS,Adjustments for currency change (from old to new manat) were made for the entire Azerbaijan series starting from World Health Statistics 2008.
AZE,SH.XPD.OOPC.TO.ZS,Adjustments for currency change (from old to new manat) were made for the entire Azerbaijan series starting from World Health Statistics 2008.
AZE,SH.XPD.OOPC.ZS,Adjustments for currency change (from old to new manat) were made for the entire Azerbaijan series starting from World Health Statistics 2008.
AZE,SH.XPD.PCAP,Adjustments for currency change (from old to new manat) were made for the entire Azerbaijan series starting from World Health Statistics 2008.
AZE,SH.XPD.PCAP.PP.KD,Adjustments for currency change (from old to new manat) were made for the entire Azerbaijan series starting from World Health Statistics 2008.
AZE,SH.XPD.PRIV.ZS,Adjustments for currency change (from old to new manat) were made for the entire Azerbaijan series starting from World Health Statistics 2008.
AZE,SH.XPD.PUBL,Adjustments for currency change (from old to new manat) were made for the entire Azerbaijan series starting from World Health Statistics 2008.
AZE,SH.XPD.PUBL.GX.ZS,Adjustments for currency change (from old to new manat) were made for the entire Azerbaijan series starting from World Health Statistics 2008.
AZE,SH.XPD.PUBL.ZS,Adjustments for currency change (from old to new manat) were made for the entire Azerbaijan series starting from World Health Statistics 2008.
AZE,SH.XPD.TOTL.ZS,Adjustments for currency change (from old to new manat) were made for the entire Azerbaijan series starting from World Health Statistics 2008.
AZE,SM.POP.NETM,Data sources : United Nations World Population Prospects
AZE,SM.POP.TOTL,Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. 
AZE,SP.DYN.AMRT.FE,Data sources : United Nations World Population Prospects
AZE,SP.DYN.AMRT.MA,Data sources : United Nations World Population Prospects
AZE,SP.DYN.CBRT.IN,"Data sources : State Statistical Committee, United Nations World Population Prospects"
AZE,SP.DYN.CDRT.IN,"Data sources : State Statistical Committee, United Nations World Population Prospects"
AZE,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
AZE,SP.DYN.LE00.IN,Derived using male and female life expectancy
AZE,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
AZE,SP.DYN.TFRT.IN,"Data sources : State Statistical Committee, Eurostat, United Nations World Population Prospects"
AZE,SP.POP.GROW,"Eurostat, State Statistical Committee, United Nations World Population Prospects"
AZE,SP.POP.TOTL,"Eurostat, State Statistical Committee, United Nations World Population Prospects"
BDI,DT.DOD.DECT.CD,"Data on long-term public and publicly guaranteed debt for 2010 are World Bank staff estimates based on reports provided by the country. Data on long-term private nonguaranteed debt are not available. Short-term debt data are World Bank staff estimates, based on the BIS data on international bank lending. Data for 2010 include the effects of MDRI and HIPC debt reliefs in the amount of $325 thousand."
BDI,SH.XPD.EXTR.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
BDI,SH.XPD.OOPC.TO.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
BDI,SH.XPD.OOPC.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
BDI,SH.XPD.PCAP,Some estimates should be viewed with caution as these are derived from scarce data.
BDI,SH.XPD.PCAP.PP.KD,Some estimates should be viewed with caution as these are derived from scarce data.
BDI,SH.XPD.PRIV.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
BDI,SH.XPD.PUBL,Some estimates should be viewed with caution as these are derived from scarce data. Revision of the General Government Expenditure series can explain changes in public expenditure ratios.
BDI,SH.XPD.PUBL.GX.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
BDI,SH.XPD.PUBL.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
BDI,SH.XPD.TOTL.ZS,Some estimates should be viewed with caution as these are derived from scarce data.
BDI,SM.POP.NETM,Data sources : United Nations World Population Prospects
BDI,SM.POP.TOTL,Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. 
BDI,SP.DYN.AMRT.FE,Data sources : United Nations World Population Prospects
BDI,SP.DYN.AMRT.MA,Data sources : United Nations World Population Prospects
BDI,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BDI,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BDI,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BDI,SP.DYN.LE00.IN,Derived using male and female life expectancy
BDI,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BDI,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BDI,SP.POP.GROW,United Nations World Population Prospects
BDI,SP.POP.TOTL,United Nations World Population Prospects
BEL,IP.TMK.AGGD,Includes Luxembourg and the Netherlands.
BEL,IP.TMK.MDRD,Includes Luxembourg and the Netherlands.
BEL,IP.TMK.NRES,Includes Luxembourg and the Netherlands.
BEL,IP.TMK.RESD,Includes Luxembourg and the Netherlands.
BEL,IP.TMK.TOTL,Includes Luxembourg and the Netherlands.
BEL,SH.XPD.EXTR.ZS,From 2003 onwards the basic information used changed from national Accounts to NHA
BEL,SH.XPD.OOPC.TO.ZS,From 2003 onwards the basic information used changed from national Accounts to NHA
BEL,SH.XPD.OOPC.ZS,From 2003 onwards the basic information used changed from national Accounts to NHA
BEL,SH.XPD.PCAP,From 2003 onwards the basic information used changed from national Accounts to NHA
BEL,SH.XPD.PCAP.PP.KD,From 2003 onwards the basic information used changed from national Accounts to NHA
BEL,SH.XPD.PRIV.ZS,From 2003 onwards the basic information used changed from national Accounts to NHA
BEL,SH.XPD.PUBL,From 2003 onwards the basic information used changed from national Accounts to NHA
BEL,SH.XPD.PUBL.GX.ZS,From 2003 onwards the basic information used changed from national Accounts to NHA
BEL,SH.XPD.PUBL.ZS,From 2003 onwards the basic information used changed from national Accounts to NHA
BEL,SH.XPD.TOTL.ZS,From 2003 onwards the basic information used changed from national Accounts to NHA
BEL,SM.POP.NETM,Data sources : United Nations World Population Prospects
BEL,SM.POP.TOTL,Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. 
BEL,SP.DYN.AMRT.FE,"Data sources : Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research. "
BEL,SP.DYN.AMRT.MA,"Data sources : Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research. "
BEL,SP.DYN.CBRT.IN,"Data sources : Eurostat, National Institute of Statistics"
BEL,SP.DYN.CDRT.IN,"Data sources : Eurostat, National Institute of Statistics"
BEL,SP.DYN.LE00.FE.IN,"Data sources : Eurostat, National Institute of Statistics, United Nations World Population Prospects"
BEL,SP.DYN.LE00.IN,Derived using male and female life expectancy
BEL,SP.DYN.LE00.MA.IN,"Data sources : Eurostat, National Institute of Statistics, United Nations World Population Prospects"
BEL,SP.DYN.TFRT.IN,"Data sources : Eurostat, National Institute of Statistics"
BEL,SP.POP.GROW,"Eurostat, National Institute of Statistics"
BEL,SP.POP.TOTL,"Eurostat, National Institute of Statistics"
BEN,DT.DOD.DECT.CD,"Data on long-term public and publicly guaranteed debt for 2010 are based on reports provided by the country. Data on long-term private nonguaranteed debt are not available. Short-term debt data are World Bank staff estimates, based on the BIS data on international bank lending. "
BEN,SH.XPD.EXTR.ZS,Estimates have been revised based on provisional NHA report.
BEN,SH.XPD.OOPC.TO.ZS,Estimates have been revised based on provisional NHA report.
BEN,SH.XPD.OOPC.ZS,Estimates have been revised based on provisional NHA report.
BEN,SH.XPD.PCAP,Estimates have been revised based on provisional NHA report.
BEN,SH.XPD.PCAP.PP.KD,Estimates have been revised based on provisional NHA report.
BEN,SH.XPD.PRIV.ZS,Estimates have been revised based on provisional NHA report.
BEN,SH.XPD.PUBL,Estimates have been revised based on provisional NHA report.
BEN,SH.XPD.PUBL.GX.ZS,Estimates have been revised based on provisional NHA report.
BEN,SH.XPD.PUBL.ZS,Estimates have been revised based on provisional NHA report.
BEN,SH.XPD.TOTL.ZS,Estimates have been revised based on provisional NHA report.
BEN,SM.POP.NETM,Data sources : United Nations World Population Prospects
BEN,SM.POP.TOTL,Estimates are derived from data on foreign-born and foreign population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. 
BEN,SP.DYN.AMRT.FE,Data sources : United Nations World Population Prospects
BEN,SP.DYN.AMRT.MA,Data sources : United Nations World Population Prospects
